tier,weight,title,id,durationSeconds,file,sourceFilename,sha256,duplicateDownloadsRemoved
CORE,3,A Game,a-game,112.953,tracks/a-game.mp3,mixkit-a-game-777.mp3,c8e74e34aeea4e30fbda56e56af3245012ce3ebc937cca5852a18b23d21e33e8,
CORE,3,Basketball Training,basketball-training,112.353,tracks/basketball-training.mp3,mixkit-basketball-training-349.mp3,1e23a60fd33c8f15e1e3b5f1b49d05fbf855ddf89ddf1d20cc2d3bce8c7e8874,
CORE,3,Bopper From Memphis,bopper-from-memphis,111.491,tracks/bopper-from-memphis.mp3,mixkit-bopper-from-memphis-1131.mp3,46a42b1063ecf43edc89366465486015624de6d18246e0be4393cff99685eae7,
CORE,3,Carry On,carry-on,95.138,tracks/carry-on.mp3,mixkit-carry-on-1091.mp3,913512bbf3911d596e35c460dfa5daaff60b025075eaa576c88e25e565a310f3,
CORE,3,Dirty Thinkin',dirty-thinkin,89.182,tracks/dirty-thinkin.mp3,mixkit-dirty-thinkin-989.mp3,e36220dbbaf56e0380bb106e32779b1832fa8f4bd8d40edcaf15b07a17bb9a8f,
CORE,3,Epical Drums 01,epical-drums-01,105.979,tracks/epical-drums-01.mp3,mixkit-epical-drums-01-676.mp3,47182a9547cbbbbf7d833e60c06fcdc08c7b064d084f4802b1b68557cba5780b,
CORE,3,Epical Drums 02,epical-drums-02,123.037,tracks/epical-drums-02.mp3,mixkit-epical-drums-02-677.mp3,64e5f57f3ba59c82b8f52b6b63f577ff68bc1620d1a4c5e0c1fdcfe098b1101a,
CORE,3,Evolution,evolution,115.226,tracks/evolution.mp3,mixkit-evolution-1027.mp3,8ea1567fe492bd715f334b576de0418daec47d7a65613d62d2d54f1fe95d11ad,
CORE,3,G Eazy NBA Type,g-eazy-nba-type,104.359,tracks/g-eazy-nba-type.mp3,mixkit-g-eazy-nba-type-403.mp3,53f36075bca2aae5db288be815447fb36dc38227e45f248138bd1c75f1251830,mixkit-g-eazy-nba-type-403 (1).mp3
CORE,3,Games Music,games-music,118.335,tracks/games-music.mp3,mixkit-games-music-706.mp3,c1129accbe28650b96f19e065b229ac5769d77fd09a184a9f628e2c87571a9ab,mixkit-games-music-706 (1).mp3
CORE,3,I'm All Heart,im-all-heart,108.8,tracks/im-all-heart.mp3,mixkit-im-all-heart-1085.mp3,e9d4955b053d4291277216b994f7a265e71e38df5f67131448fbfde0aeff0b24,
CORE,3,Infected Vibes,infected-vibes,91.167,tracks/infected-vibes.mp3,mixkit-infected-vibes-157.mp3,5670c759faa0d48e94005fed7ecf4683973d35cd3cccee4f49fd1cea42cf9a46,
CORE,3,K.O.,ko,101.094,tracks/ko.mp3,mixkit-ko-1068.mp3,ddebd9fdaca9c2f9a273ce704b6bd823166590ca624fe452a5416dfceaa4da5f,
CORE,3,Karma,karma,135.262,tracks/karma.mp3,mixkit-karma-1183.mp3,56f331c37552486a1a31c65a443f1669ed37f7fb3bd99d9078d23ec55caa052f,
CORE,3,Lord Knows,lord-knows,102.975,tracks/lord-knows.mp3,mixkit-lord-knows-293.mp3,f87a61b7afda1792ce3d8f91ab2772fd1b9bfde42e4e252f0ad88c9b554442b2,mixkit-lord-knows-293 (1).mp3
CORE,3,Need For Speed,need-for-speed,97.829,tracks/need-for-speed.mp3,mixkit-need-for-speed-369.mp3,b48cec324ea9fa0dd1f003e7981fc6d6b6e312567ea2e5ff40b8dfc114e7835d,mixkit-need-for-speed-369 (1).mp3
CORE,3,No Warning,no-warning,113.502,tracks/no-warning.mp3,mixkit-no-warning-1150.mp3,57e5c58d150f44aab99453b720c2666f2cca75e0ef7d5f7d0b6c47473285315f,
